gutenberg_id,chunk_id,ci_flow,article_text
8547,2,"CI Flow: editor sends purpose and intended impact of the book about None to readers based on public record, classified as appropriate based on the explicit norm in the education context of [""the editor is expected to communicate the purpose and intended impact of the book to the readers."", ""readers are expected to be informed about the content and goals of the book.""]","It is the humble hope of the editor that this little book may be the
means of further popularizing the practical and, at the same time,
high-minded wisdom of the ""Fathers""; that it may serve as an incentive
to a more detailed study of their philosophy of life, and that its
appearance may help us to lead in a revival of that most ancient and
praiseworthy custom of reading the _Pirke Abot_ in the house of
worship on the Sabbath, during the summer months.  Let him into whose
hands these sayings fall ""meditate upon them day and night,"" for ""he
who would be saintly must fulfil the dicta of the Fathers.""

            JOSEPH I GORFINKLE.

Mt. Vernon, N. Y.
   February, 1913.

            INTRODUCTION

                NAME

_The Tractate Abot_ (_Massechet Abot_) is the ninth treatise of _The
Order_ or _Series on Damages_ (_Seder Nezikin_), which is the fourth
section of the _Mishnah_ (1).  It is commonly known in Hebrew as
_Pirke Abot_, _The Chapters of the Fathers_, and has also been termed
_Mishnat ha-Chasidim_, _Instruction for the Pious_, because of the
Rabbinic saying, ""He who wishes to be pious, let him practise the
teachings of _Abot_"" (2).  On account of the nature of its contents,
it is generally designated in English as the _Ethics of the Fathers_.
Taylor entitles his edition _Dibre Aboth ha-Olam_, Sayings of the
Fathers of the World_, and has as the English title, _Sayings of the
Jewish Fathers_.  Gustav Gottheil refers to the _Abot_ as the _Sayings
of the Pharisaic Fathers_ (3).  Its German title is generally _Die
Spruche der Vater_, and in French it is usually rendered _Chapitres_
or _Maximes des Peres_.

      (1) See _infra_, [Chapter V], n. 61.

      (2) _Baba Kamma_, 30a.  See Taylor, _Sayings of the Jewish
      Fathers_, p. 3.  Maimonides refers to this saying in the
      _Foreword_ of his _Eight Chapters_; see Gorfinkle, _The Eight
      Chapters_, etc., p. 34."
8547,2,"CI Flow: author or narrator sends historical and cultural context about None to readers based on public record, classified as appropriate based on the explicit norm in the education context of [""educational content should be clear and informative"", ""readers have a right to understand the context and significance of the text""]","It is the humble hope of the editor that this little book may be the
means of further popularizing the practical and, at the same time,
high-minded wisdom of the ""Fathers""; that it may serve as an incentive
to a more detailed study of their philosophy of life, and that its
appearance may help us to lead in a revival of that most ancient and
praiseworthy custom of reading the _Pirke Abot_ in the house of
worship on the Sabbath, during the summer months.  Let him into whose
hands these sayings fall ""meditate upon them day and night,"" for ""he
who would be saintly must fulfil the dicta of the Fathers.""

            JOSEPH I GORFINKLE.

Mt. Vernon, N. Y.
   February, 1913.

            INTRODUCTION

                NAME

_The Tractate Abot_ (_Massechet Abot_) is the ninth treatise of _The
Order_ or _Series on Damages_ (_Seder Nezikin_), which is the fourth
section of the _Mishnah_ (1).  It is commonly known in Hebrew as
_Pirke Abot_, _The Chapters of the Fathers_, and has also been termed
_Mishnat ha-Chasidim_, _Instruction for the Pious_, because of the
Rabbinic saying, ""He who wishes to be pious, let him practise the
teachings of _Abot_"" (2).  On account of the nature of its contents,
it is generally designated in English as the _Ethics of the Fathers_.
Taylor entitles his edition _Dibre Aboth ha-Olam_, Sayings of the
Fathers of the World_, and has as the English title, _Sayings of the
Jewish Fathers_.  Gustav Gottheil refers to the _Abot_ as the _Sayings
of the Pharisaic Fathers_ (3).  Its German title is generally _Die
Spruche der Vater_, and in French it is usually rendered _Chapitres_
or _Maximes des Peres_.

      (1) See _infra_, [Chapter V], n. 61.

      (2) _Baba Kamma_, 30a.  See Taylor, _Sayings of the Jewish
      Fathers_, p. 3.  Maimonides refers to this saying in the
      _Foreword_ of his _Eight Chapters_; see Gorfinkle, _The Eight
      Chapters_, etc., p. 34."
8547,2,"CI Flow: taylor sends general news about None to public based on public record, classified as appropriate based on the explicit norm in the scholarship context of [""scholars are expected to provide comprehensive information about the titles and translations of important texts""]","It is the humble hope of the editor that this little book may be the
means of further popularizing the practical and, at the same time,
high-minded wisdom of the ""Fathers""; that it may serve as an incentive
to a more detailed study of their philosophy of life, and that its
appearance may help us to lead in a revival of that most ancient and
praiseworthy custom of reading the _Pirke Abot_ in the house of
worship on the Sabbath, during the summer months.  Let him into whose
hands these sayings fall ""meditate upon them day and night,"" for ""he
who would be saintly must fulfil the dicta of the Fathers.""

            JOSEPH I GORFINKLE.

Mt. Vernon, N. Y.
   February, 1913.

            INTRODUCTION

                NAME

_The Tractate Abot_ (_Massechet Abot_) is the ninth treatise of _The
Order_ or _Series on Damages_ (_Seder Nezikin_), which is the fourth
section of the _Mishnah_ (1).  It is commonly known in Hebrew as
_Pirke Abot_, _The Chapters of the Fathers_, and has also been termed
_Mishnat ha-Chasidim_, _Instruction for the Pious_, because of the
Rabbinic saying, ""He who wishes to be pious, let him practise the
teachings of _Abot_"" (2).  On account of the nature of its contents,
it is generally designated in English as the _Ethics of the Fathers_.
Taylor entitles his edition _Dibre Aboth ha-Olam_, Sayings of the
Fathers of the World_, and has as the English title, _Sayings of the
Jewish Fathers_.  Gustav Gottheil refers to the _Abot_ as the _Sayings
of the Pharisaic Fathers_ (3).  Its German title is generally _Die
Spruche der Vater_, and in French it is usually rendered _Chapitres_
or _Maximes des Peres_.

      (1) See _infra_, [Chapter V], n. 61.

      (2) _Baba Kamma_, 30a.  See Taylor, _Sayings of the Jewish
      Fathers_, p. 3.  Maimonides refers to this saying in the
      _Foreword_ of his _Eight Chapters_; see Gorfinkle, _The Eight
      Chapters_, etc., p. 34."
8547,3,"CI Flow: samuel de uceda sends interpretation of religious text about None to public based on public record, classified as appropriate based on the explicit norm in the religious context of [""scholarly interpretations of religious texts are to be shared with the community""]","(3) See _Sun and Shield_, p. 321 _et passim_.  See _infra_, n.
      8, which accounts for the use of ""_Pharisaic_.""

The use of the word _Abot_ (fathers), in the title, is of very ancient
date.  We can only guess at the reason for its being used, and,
consequently, there are various explanations for it.  Samuel de Uceda,
in his collective commentary, says that as this tractate of the
_Mishnah_ contains the advice and good counsel, which, for the most
part, come from a father, the Rabbis mentioned in it adopt the role of
""fathers,"" and are therefore so designated.  This explanation does
not, however, deter him from advancing another to the effect that this
treatise is the basis of all subsequent ethical and moral teachings
and doctrines, and the Rabbis are, in consequence, the ""fathers"" or
prototypes of all ethical teachers and moralists (4).  Loeb attributes
its use to the fact that the Rabbis of _Abot_ are the ""fathers"" or
""ancestors of Rabbinic Judaism"" (5).  Hoffman states that the word
_abot_ means ""teachers of tradition"" (_Traditionslehrer_), and points
to the expression _abot ha-olam_ (_Eduyot_, I. 4), which, translated
literally, is ""fathers of the world,"" but is used to designate the
most distinguished teachers, which is a true characterization of the
Rabbis of _Abot_ (6).  Taylor says in regard to the title, ""It takes
its name from the fact that it consists to a great extent of the
maxims of the Jewish Fathers whose names are mentioned in the pages""
(7).  Hoffmann's seems the most acceptable explanation.

      (4) _Midrash Shemuel_ (ed. Warsaw, 1876), p. 6.  The _Midrash
      Shemuel_ is a collective commentary, first published in Venice
      in 1579, and which has since passed through six editions.  See
      p. 22, n. 21.

      (5) _La Chaine_, etc., p. 307, n. 1."
8547,3,"CI Flow: samuel de uceda sends ethical and moral teachings and doctrines about None to reader based on public record, classified as appropriate based on the explicit norm in the education context of [""scholarly discourse is expected to be shared with the public for educational purposes""]","(3) See _Sun and Shield_, p. 321 _et passim_.  See _infra_, n.
      8, which accounts for the use of ""_Pharisaic_.""

The use of the word _Abot_ (fathers), in the title, is of very ancient
date.  We can only guess at the reason for its being used, and,
consequently, there are various explanations for it.  Samuel de Uceda,
in his collective commentary, says that as this tractate of the
_Mishnah_ contains the advice and good counsel, which, for the most
part, come from a father, the Rabbis mentioned in it adopt the role of
""fathers,"" and are therefore so designated.  This explanation does
not, however, deter him from advancing another to the effect that this
treatise is the basis of all subsequent ethical and moral teachings
and doctrines, and the Rabbis are, in consequence, the ""fathers"" or
prototypes of all ethical teachers and moralists (4).  Loeb attributes
its use to the fact that the Rabbis of _Abot_ are the ""fathers"" or
""ancestors of Rabbinic Judaism"" (5).  Hoffman states that the word
_abot_ means ""teachers of tradition"" (_Traditionslehrer_), and points
to the expression _abot ha-olam_ (_Eduyot_, I. 4), which, translated
literally, is ""fathers of the world,"" but is used to designate the
most distinguished teachers, which is a true characterization of the
Rabbis of _Abot_ (6).  Taylor says in regard to the title, ""It takes
its name from the fact that it consists to a great extent of the
maxims of the Jewish Fathers whose names are mentioned in the pages""
(7).  Hoffmann's seems the most acceptable explanation.

      (4) _Midrash Shemuel_ (ed. Warsaw, 1876), p. 6.  The _Midrash
      Shemuel_ is a collective commentary, first published in Venice
      in 1579, and which has since passed through six editions.  See
      p. 22, n. 21.

      (5) _La Chaine_, etc., p. 307, n. 1."
8547,3,"CI Flow: loeb sends historical or etymological explanation about None to reader based on public record, classified as appropriate based on the explicit norm in the education context of [""scholars are expected to provide explanations and context for terms and concepts in their writings""]","(3) See _Sun and Shield_, p. 321 _et passim_.  See _infra_, n.
      8, which accounts for the use of ""_Pharisaic_.""

The use of the word _Abot_ (fathers), in the title, is of very ancient
date.  We can only guess at the reason for its being used, and,
consequently, there are various explanations for it.  Samuel de Uceda,
in his collective commentary, says that as this tractate of the
_Mishnah_ contains the advice and good counsel, which, for the most
part, come from a father, the Rabbis mentioned in it adopt the role of
""fathers,"" and are therefore so designated.  This explanation does
not, however, deter him from advancing another to the effect that this
treatise is the basis of all subsequent ethical and moral teachings
and doctrines, and the Rabbis are, in consequence, the ""fathers"" or
prototypes of all ethical teachers and moralists (4).  Loeb attributes
its use to the fact that the Rabbis of _Abot_ are the ""fathers"" or
""ancestors of Rabbinic Judaism"" (5).  Hoffman states that the word
_abot_ means ""teachers of tradition"" (_Traditionslehrer_), and points
to the expression _abot ha-olam_ (_Eduyot_, I. 4), which, translated
literally, is ""fathers of the world,"" but is used to designate the
most distinguished teachers, which is a true characterization of the
Rabbis of _Abot_ (6).  Taylor says in regard to the title, ""It takes
its name from the fact that it consists to a great extent of the
maxims of the Jewish Fathers whose names are mentioned in the pages""
(7).  Hoffmann's seems the most acceptable explanation.

      (4) _Midrash Shemuel_ (ed. Warsaw, 1876), p. 6.  The _Midrash
      Shemuel_ is a collective commentary, first published in Venice
      in 1579, and which has since passed through six editions.  See
      p. 22, n. 21.

      (5) _La Chaine_, etc., p. 307, n. 1."
8547,3,"CI Flow: hoffman sends definition and characterization of a term about None to reader based on public record, classified as appropriate based on the explicit norm in the education context of [""scholarly information is shared with the public for educational purposes""]","(3) See _Sun and Shield_, p. 321 _et passim_.  See _infra_, n.
      8, which accounts for the use of ""_Pharisaic_.""

The use of the word _Abot_ (fathers), in the title, is of very ancient
date.  We can only guess at the reason for its being used, and,
consequently, there are various explanations for it.  Samuel de Uceda,
in his collective commentary, says that as this tractate of the
_Mishnah_ contains the advice and good counsel, which, for the most
part, come from a father, the Rabbis mentioned in it adopt the role of
""fathers,"" and are therefore so designated.  This explanation does
not, however, deter him from advancing another to the effect that this
treatise is the basis of all subsequent ethical and moral teachings
and doctrines, and the Rabbis are, in consequence, the ""fathers"" or
prototypes of all ethical teachers and moralists (4).  Loeb attributes
its use to the fact that the Rabbis of _Abot_ are the ""fathers"" or
""ancestors of Rabbinic Judaism"" (5).  Hoffman states that the word
_abot_ means ""teachers of tradition"" (_Traditionslehrer_), and points
to the expression _abot ha-olam_ (_Eduyot_, I. 4), which, translated
literally, is ""fathers of the world,"" but is used to designate the
most distinguished teachers, which is a true characterization of the
Rabbis of _Abot_ (6).  Taylor says in regard to the title, ""It takes
its name from the fact that it consists to a great extent of the
maxims of the Jewish Fathers whose names are mentioned in the pages""
(7).  Hoffmann's seems the most acceptable explanation.

      (4) _Midrash Shemuel_ (ed. Warsaw, 1876), p. 6.  The _Midrash
      Shemuel_ is a collective commentary, first published in Venice
      in 1579, and which has since passed through six editions.  See
      p. 22, n. 21.

      (5) _La Chaine_, etc., p. 307, n. 1."
8547,3,"CI Flow: taylor sends explanation of the term 'abot' about None to reader based on public record, classified as appropriate based on the explicit norm in the education context of [""information in educational texts is considered public and should be shared with readers""]","(3) See _Sun and Shield_, p. 321 _et passim_.  See _infra_, n.
      8, which accounts for the use of ""_Pharisaic_.""

The use of the word _Abot_ (fathers), in the title, is of very ancient
date.  We can only guess at the reason for its being used, and,
consequently, there are various explanations for it.  Samuel de Uceda,
in his collective commentary, says that as this tractate of the
_Mishnah_ contains the advice and good counsel, which, for the most
part, come from a father, the Rabbis mentioned in it adopt the role of
""fathers,"" and are therefore so designated.  This explanation does
not, however, deter him from advancing another to the effect that this
treatise is the basis of all subsequent ethical and moral teachings
and doctrines, and the Rabbis are, in consequence, the ""fathers"" or
prototypes of all ethical teachers and moralists (4).  Loeb attributes
its use to the fact that the Rabbis of _Abot_ are the ""fathers"" or
""ancestors of Rabbinic Judaism"" (5).  Hoffman states that the word
_abot_ means ""teachers of tradition"" (_Traditionslehrer_), and points
to the expression _abot ha-olam_ (_Eduyot_, I. 4), which, translated
literally, is ""fathers of the world,"" but is used to designate the
most distinguished teachers, which is a true characterization of the
Rabbis of _Abot_ (6).  Taylor says in regard to the title, ""It takes
its name from the fact that it consists to a great extent of the
maxims of the Jewish Fathers whose names are mentioned in the pages""
(7).  Hoffmann's seems the most acceptable explanation.

      (4) _Midrash Shemuel_ (ed. Warsaw, 1876), p. 6.  The _Midrash
      Shemuel_ is a collective commentary, first published in Venice
      in 1579, and which has since passed through six editions.  See
      p. 22, n. 21.

      (5) _La Chaine_, etc., p. 307, n. 1."
8547,5,"CI Flow: text (author or narrator) sends religious and historical knowledge about None to reader based on public record, classified as appropriate based on the explicit norm in the religious and educational context of [""religious and historical knowledge is to be shared with the community to maintain continuity and authority of tradition""]","(6) See Hoffman, _Seder Nesikin, Introd._, p. xx, and p. 258,
      n. 36.  In this passage of _Eduyot_, Hillel and Shammai are
      referred to as _abot ha-olam_; in _Yerushalmi Shekalim_, III,
      47b, Rabbi and Ishmael and Rabbi Akiba, and in _Yerushalmi
      Chagigah_, II, 77d, all the pairs of _Abot_ I are similarly
      designated.

      (7) Taylor, _loc. cit._

            PURPOSE

The original aim of _Abot_ was to show the divine source and authority
of the traditional law revealed to Moses on Mt. Sinai, and to
demonstrate its continuity from Moses through Joshua, the elders, and
the men of the Great Synagogue, down to those Rabbis who lived during
the period between 200 B.C.E. to 200 C.E.  Loeb maintains that _Abot_
was originally a composition of the Pharisaic Rabbis who wished to
indicate that the traditions held and expounded by them, and which the
Sadducees repudiated, were divine and, in time and sequence,
uninterruptedly authoritative (8).  This line of continuous tradition
is plainly seen in the first two chapters.  A second and probably
later purpose was to present a body of practical maxims and aphorisms
for the daily guidance of the people.

      (8) _La Chaine_, etc. The Sadducees belonged to the priestly
      and aristocratic families. They made light of the oral
      traditions, did not believe in the future life, and were
      indifferent to the independence of the Jewish nation. The
      Pharisees, on the other hand, were constituted largely from
      the common people; they were believers in, and strict
      observers of, the traditional laws, and were ardent
      nationalists. The bitter attack of Jesus on them, which has
      resulted in making the word ""Pharisee"" synonymous with
      ""hypocrite"" and ""self-righteous person,"" was, to say the
      least, unjust, as Herford has so lucidly pointed out in his
      sympathetic study of the Pharisees."
8547,5,"CI Flow: loeb sends religious and historical traditions about pharisaic rabbis to reader based on public record, classified as appropriate based on the explicit norm in the religious and historical context of [""scholars are expected to share their historical and religious insights with the public""]","(6) See Hoffman, _Seder Nesikin, Introd._, p. xx, and p. 258,
      n. 36.  In this passage of _Eduyot_, Hillel and Shammai are
      referred to as _abot ha-olam_; in _Yerushalmi Shekalim_, III,
      47b, Rabbi and Ishmael and Rabbi Akiba, and in _Yerushalmi
      Chagigah_, II, 77d, all the pairs of _Abot_ I are similarly
      designated.

      (7) Taylor, _loc. cit._

            PURPOSE

The original aim of _Abot_ was to show the divine source and authority
of the traditional law revealed to Moses on Mt. Sinai, and to
demonstrate its continuity from Moses through Joshua, the elders, and
the men of the Great Synagogue, down to those Rabbis who lived during
the period between 200 B.C.E. to 200 C.E.  Loeb maintains that _Abot_
was originally a composition of the Pharisaic Rabbis who wished to
indicate that the traditions held and expounded by them, and which the
Sadducees repudiated, were divine and, in time and sequence,
uninterruptedly authoritative (8).  This line of continuous tradition
is plainly seen in the first two chapters.  A second and probably
later purpose was to present a body of practical maxims and aphorisms
for the daily guidance of the people.

      (8) _La Chaine_, etc. The Sadducees belonged to the priestly
      and aristocratic families. They made light of the oral
      traditions, did not believe in the future life, and were
      indifferent to the independence of the Jewish nation. The
      Pharisees, on the other hand, were constituted largely from
      the common people; they were believers in, and strict
      observers of, the traditional laws, and were ardent
      nationalists. The bitter attack of Jesus on them, which has
      resulted in making the word ""Pharisee"" synonymous with
      ""hypocrite"" and ""self-righteous person,"" was, to say the
      least, unjust, as Herford has so lucidly pointed out in his
      sympathetic study of the Pharisees."
